id,sura,aya,arabic_text,URL,translation
1,1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/1.mp3,በአላህ ስም እጅግ በጣም ሩኅሩህ በጣም አዛኝ በኾነው፡፡
2,1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/2.mp3,ምስጋና ለአላህ ይገባው የዓለማት ጌታ ለኾነው፤
3,1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/3.mp3,እጅግ በጣም ርኅሩህ በጣም አዛኝ
4,1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/4.mp3,የፍርዱ ቀን ባለቤት ለኾነው፡፡
5,1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/5.mp3,አንተን ብቻ እንግገዛለን፤ አንተንም ብቻ እርዳታን እንለምናለን፡፡
6,1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/6.mp3,ቀጥተኛውን መንገድ ምራን፡፡
7,1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/7.mp3,የእነዚያን በነርሱ ላይ በጎ የዋልክላቸውን በነሱ ላይ ያልተቆጣህባቸውንና ያልተሳሳቱትንም ሰዎች መንገድ (ምራን፤ በሉ)፡፡
8,2,1,الٓمٓ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/8.mp3,አ.ለ.መ
9,2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/9.mp3,ይህ መጽሐፍ (ከአላህ ለመኾኑ) ጥርጥር የለበትም፤ ለፈራህያን መሪ ነው፡፡
10,2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/10.mp3,ለነዚያ በሩቁ ነገር የሚያምኑ ሶላትንም ደንቡን ጠብቀው የሚሰግዱ ከሰጠናቸውም ሲሳይ የሚቸሩ ለኾኑት፤
11,2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/11.mp3,ለእነዚያም ወደ አንተ በተወረደውና ከአንተ በፊትም በተወረደው የሚያምኑ በመጨረሻይቱም (ዓለም) እነርሱ የሚያረጋግጡ ለኾኑት (መሪ ነው)፡፡
12,2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/12.mp3,እነዚያ ከጌታቸው በመመራት ላይ ናቸው፤ እነዚያም እነሱ ፍላጎታቸውን ያገኙ ናቸው፡፡
13,2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/13.mp3,እነዚያ የካዱት (ሰዎች) ብታስፈራራቸውም ባታስፈራራቸውም በነርሱ ላይ እኩል ነው፤ አያምኑም፡፡
14,2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/14.mp3,አላህ በልቦቻቸው ላይ በመስሚያቸውም ላይ አትሞባቸዋል፤ በዓይኖቻቸውም ላይ መሸፈኛ አልለ፤ ለነሱም ታላቅ ቅጣት አላቸው፡፡
15,2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/15.mp3,ከሰዎችም «በአላህና በመጨረሻው ቀን አምነናል» የሚሉ አልሉ፤ እነርሱም አማኞች አይደሉም፡፡
16,2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/16.mp3,አላህንና እነዚያን ያመኑትን (ሰዎች) ያታልላሉ፤ የማያውቁ ሲኾኑ ነፍሶቻቸውን እንጅ ሌላን አያታልሉም፡፡
17,2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/17.mp3,በልቦቻቸው ውስጥ (የንፍቅና) በሽታ አለባቸው፡፡ አላህም በሽታን ጨመረባቸው፡፡ ለነርሱም ይዋሹ በነበሩት ምክንያት አሳማሚ ቅጣት አላቸው፡፡
